Code,smlmitzrach,shmmitzrach,makor,edible,psolet,ahuz_ibud_nozlim,protein,total_fat,carbohydrates,food_energy,alcohol,moisture,total_dietary_fiber,calcium,iron,magnesium,phosphorus,potassium,sodium,zinc,copper,vitamin_a_iu,carotene,vitamin_e,vitamin_c,thiamin,riboflavin,niacin,vitamin_b6,folate,folate_dfe,vitamin_b12,cholesterol,saturated_fat,butyric,caproic,caprylic,capric,lauric,myristic,palmitic,stearic,oleic,linoleic,linolenic,arachidonic,docosahexanoic,palmitoleic,parinaric,gadoleic,eicosapentaenoic,erucic,docosapentaenoic,mono_unsaturated_fat,poly_unsaturated_fat,vitamin_d,total_sugars,trans_fatty_acids,vitamin_a_re,isoleucine,leucine,valine,lysine,threonine,methionine,phenylalanine,tryptophan,histidine,tyrosine,arginine,cystine,serine,vitamin_k,pantothenic_acid,iodine,selenium,sugar_alcohols,choline,biotin,manganese,fructose,tarich_ptiha,tarich_idkun,shmmitzrach,תרומה לשומן בטני
43,11411149,"יוגורט, 1.5% שומן, רויון, תנובה",3,0,0,0,3.6,1.5,4.3,48,0,87,0,120,0.05,10.9,68.9,151.3,50,0.2,0.01,43.5,2,0.1,1.3,0.04,0.18,0.08,0.03,5,0,0.31,4.5,0.9,0.046,0.03,0.015,0.038,0.046,0.152,0.394,0.182,0.379,0.03,0.023,0,0,0.03,0,0,0,0,0,0.43,0.05,0,4.3,0,12,0.186,0.341,0.235,0.301,0.154,0.094,0.186,0.052,0.109,0.182,0.103,0.022,0.217,0.08,0,0,2.1,0,13.4,0,0,0,0,02/02/2022 11:11:16:04,"יוגורט, 1.5% שומן, רויון, תנובה",מותר
45,11411219,"יוגורט של פעם 3% שומן, השומרון",3,0,0,0,4,3,7,71,0,84,0,135,0.07,16.3,128.8,210.2,50,0.8,0.01,121.8,6,0.1,0.7,0.04,0.19,0.1,0.04,9.5,0,0.5,9,1.8,0.118,0.081,0.052,0.114,0.137,0.422,1.09,0.39,0.914,0.08,0.033,0,0,0.087,0,0,0,0,0,1.1,0.11,0,0,0,33.2,0.218,0.403,0.331,0.359,0.164,0.118,0.218,0.023,0.099,0.202,0.121,0.037,0.248,0,0,0,0,0,0,0,0,0,0,10/11/2020 13:15,"יוגורט של פעם 3% שומן, השומרון",מותר
46,11411229,"יוגורט 1.9% שומן  עם גרנולה ופירות ,פרילי טבע, תנובה",3,0,0,0,2.9,1.9,17.4,98,0,77.8,0.3,150,0.14,13.5,88.6,139.3,40,0.44,0.02,160.8,18,0.1,0.1,0.03,0.16,0.15,0.04,5.3,0,0.39,2.8,0.59,0.023,0.016,0.011,0.025,0.026,0.087,0.3,0.129,0.368,0.208,0.007,0,0,0.02,0,0,0,0,0,0.4,0.22,1.03,16.4,0,53.3,0.151,0.277,0.191,0.238,0.125,0.076,0.153,0.006,0.088,0.145,0.102,0.023,0.177,0.16,0.32,0,3.4,0,15.4,0,0.1,0.3,0,26/10/2017 10:35:56:563,"יוגורט 1.9% שומן  עם גרנולה ופירות ,פרילי טבע, תנובה",מותר
48,11411249,"יוגורט ביו  3% שומן,דנונה, שטראוס",3,0,0,0,5.2,3,4.5,70,0,84.3,0.9,165,0.06,14.5,114.5,186.8,48,0.71,0.01,91.4,5,0.1,0.6,0.04,0.17,0.09,0.04,8.4,0,0.45,11.3,2,0.089,0.061,0.039,0.086,0.102,0.317,0.818,0.293,0.686,0.06,0.025,0,0,0.066,0,0,0,0,0,0.82,0.09,0.09,4.5,0,24.9,0.267,0.494,0.405,0.439,0.201,0.144,0.267,0.03,0.121,0.247,0.147,0.045,0.304,0.19,0.47,0,2.7,0,18.3,0,0,0,0,20/02/2020 15:48:50:07,"יוגורט ביו  3% שומן,דנונה, שטראוס",מותר
50,11411279,"יוגורט ביו 3%, תות/אפרסק/שזיף/מנגו",3,0,0,0,3.8,3,18.2,115,0,73,0,100,0.14,32.5,257.1,419.4,54.4,1.6,0.02,91.4,5,0.1,1.4,0.08,0.38,0.2,0.09,18.9,0,1,9.3,1.9,0.089,0.061,0.039,0.086,0.102,0.317,0.818,0.293,0.686,0.06,0.025,0,0,0.066,0,0,0,0,0,0.82,0.09,0.09,18.2,0,25.9,0.207,0.383,0.314,0.341,0.156,0.112,0.207,0.02,0.094,0.192,0.114,0.035,0.235,0.19,1.05,0,6,0,41.1,0,0,0,0,0,"יוגורט ביו 3%, תות/אפרסק/שזיף/מנגו",מותר
51,11411289,"יוגורט פרי דיאט 0% שומן, פירות יער, דובדבן, מיקס פירות טרופי ",3,0,0,0,4.8,0,4.9,40,0,88.2,2.2,150,0.03,6.2,49.3,80.8,40,0.31,0.03,3.3,0,0,0.3,0.01,0.07,0.04,0.02,3.7,0,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.7,0,1.3,0.261,0.483,0.398,0.431,0.197,0.142,0.261,0.025,0.119,0.243,0.145,0.044,0.298,0.01,0.2,0,1.3,0,5.8,0,0,0,0,25/11/2021 13:50:19:577,"יוגורט פרי דיאט 0% שומן, פירות יער, דובדבן, מיקס פירות טרופי ",מותר
52,11411299,"יוגורט ביו 1.5% שומן,דנונה, שטראוס",3,0,0,0,4.9,1.5,5,53,0,85.6,1,130,0.06,13.7,116,188.5,47,0.72,0.01,49.4,2,0,0.6,0.04,0.17,0.09,0.04,8.9,0,0.45,5.8,1,0.045,0.031,0.019,0.043,0.051,0.158,0.408,0.146,0.343,0.03,0.013,0,0,0.033,0,0,0,0,0,0.41,0.04,0,5,0,13.5,0.267,0.494,0.405,0.44,0.202,0.145,0.267,0.03,0.121,0.247,0.147,0.045,0.303,0.19,0.48,0,2.7,0,12.2,0,0,0,0,0,"יוגורט ביו 1.5% שומן,דנונה, שטראוס",מותר
54,11411319,"יוגורט, אקטיביה דיאט 0% שומן טבעי, פטל אוכמניות, שזיף מיובש",3,0,0,0,4.2,0,5,37,0,87.7,1.1,130,0.03,5.9,46.7,76.6,90,0.29,0.03,0,0,0,0.3,0.01,0.07,0.04,0.02,3.5,0,0.19,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1.6,0.229,0.423,0.348,0.377,0.172,0.124,0.229,0.03,0.104,0.212,0.127,0.038,0.26,0,0.19,0,1.2,0,5.5,0,0,0,0,22/02/2020 16:04:24:953,"יוגורט, אקטיביה דיאט 0% שומן טבעי, פטל אוכמניות, שזיף מיובש",מותר
55,11411329,"יוגורט 1.5% שומן, אקטיביה, בטעם שזיף מיובש/פרי יבש/תות/אפרסק/פטל/גרנולה, דנונה",3,0,0,0,3.7,1.5,16,93,0,75.8,1,130,0.06,13.4,111.7,181.4,80,0.69,0.07,63.8,0,0,0.6,0.03,0.17,0.09,0.04,8.4,0,0.44,4.5,1,0.045,0.031,0.019,0.043,0.051,0.159,0.409,0.146,0.343,0.03,0.013,0,0,0.033,0,0,0,0,0,0.41,0.04,0,16,0,0,0.202,0.373,0.306,0.332,0.152,0.109,0.202,0.027,0.091,0.187,0.111,0.033,0.229,0,0.46,0,2.6,0,0,0,0.1,0,0,02/12/2020 13:44:11:45,"יוגורט 1.5% שומן, אקטיביה, בטעם שזיף מיובש/פרי יבש/תות/אפרסק/פטל/גרנולה, דנונה",מותר
56,11411339,"יוגורט 0% שומן, יופלה, טבעי, תנובה",3,0,0,0,5.5,0,3.7,37,0,87.8,1,130,0.06,13,107.7,174.9,55,0.67,0.01,0,0,0,0.6,0.03,0.16,0.09,0.04,8.2,0,0.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7,0,0,0.3,0.554,0.455,0.493,0.226,0.162,0.3,0.03,0.136,0.277,0.165,0.05,0.341,0,0.44,0,2.5,0,10.4,0,0,0,0,17/02/2022 10:48:45:327,"יוגורט 0% שומן, יופלה, טבעי, תנובה",מותר
